ano,mes,sigla_uf,id_estabelecimento_cnes,total_internacoes,permanencia_media_dias,total_leitos
2024,Dezembro,PE,0000434,830,16,1056
2024,Dezembro,PE,0001120,413,10,804
2024,Dezembro,SE,0002275,234,9,113
2024,Dezembro,SP,0008028,829,11,225
2024,Dezembro,SP,0009539,4,0,54
2024,Dezembro,MS,0009717,2831,10,744
2024,Dezembro,MS,0009733,930,16,151
2024,Dezembro,MS,0009776,105,10,64
2024,Dezembro,DF,0010464,1065,12,353
2024,Dezembro,DF,0010472,1301,11,421
2024,Dezembro,DF,0010480,1623,8,554
2024,Dezembro,DF,0010499,1251,14,459
2024,Dezembro,DF,0010537,2177,6,263
2024,Dezembro,ES,0011843,257,3,87
2024,Dezembro,ES,0012017,29,2,47
2024,Dezembro,PR,0014125,407,5,105
2024,Dezembro,PR,0015423,285,8,162
2024,Dezembro,PR,0016365,93,43,335
2024,Dezembro,SC,0019283,659,5,100
2024,Dezembro,GO,0024074,460,10,200
2024,Dezembro,RJ,0025186,45,11,59
2024,Dezembro,MG,0026859,203,13,417
2024,Dezembro,SP,0102075,27,25,113
2024,Dezembro,PE,0134252,59,14,290
2024,Dezembro,CE,0153087,52,10,30
2024,Dezembro,SP,0161438,206,22,216
2024,Dezembro,PR,0163864,314,3,70
2024,Dezembro,PA,0179817,382,15,153
2024,Dezembro,PR,0213845,130,7,147
2024,Dezembro,PB,0220337,169,8,118
2024,Dezembro,PE,0226491,71,15,128
2024,Dezembro,MG,0246417,89,8,26
2024,Dezembro,RN,0282715,7,11,42
2024,Dezembro,GO,0547484,2458,7,283
2024,Dezembro,SP,0605484,73,7,130
2024,Dezembro,RJ,0679550,325,19,300
2024,Dezembro,RJ,0919373,43,16,28
2024,Dezembro,AC,2002078,485,9,179
2024,Dezembro,AL,2006448,290,12,296
2024,Dezembro,AM,2012618,53,3,51
2024,Dezembro,AM,2012685,583,6,186
2024,Dezembro,AM,2016923,510,3,110
2024,Dezembro,AM,2017016,11,6,48
2024,Dezembro,AM,2018128,11,3,46
2024,Dezembro,AM,2018136,309,3,108
2024,Dezembro,AM,2019604,113,2,28
2024,Dezembro,AP,2020645,783,14,230
2024,Dezembro,SP,2022621,772,6,259
2024,Dezembro,SP,2022648,155,16,148
2024,Dezembro,SP,2058626,168,28,184
2024,Dezembro,SP,2072513,211,4,48
2024,Dezembro,SP,2076896,658,9,231
2024,Dezembro,SP,2077507,86,10,270
2024,Dezembro,SP,2077590,383,10,161
2024,Dezembro,SP,2077647,341,8,121
2024,Dezembro,SP,2077655,100,11,87
2024,Dezembro,SP,2078414,234,5,61
2024,Dezembro,SP,2078465,124,13,135
2024,Dezembro,SP,2079240,298,11,253
2024,Dezembro,SP,2079550,46,4,23
2024,Dezembro,SP,2079925,403,6,93
2024,Dezembro,SP,2080109,20,5,18
2024,Dezembro,SP,2080184,216,11,30
2024,Dezembro,SP,2080362,40,3,36
2024,Dezembro,SP,2080532,449,11,209
2024,Dezembro,SP,2080966,88,4,51
2024,Dezembro,SP,2081512,649,8,146
2024,Dezembro,SP,2081555,355,2,80
2024,Dezembro,SP,2082195,3,1,43
2024,Dezembro,SP,2082624,2,18,168
2024,Dezembro,SP,2082829,965,8,286
